No.,Label,Left,Right
82,Right-non-WM-hypointensities,0,1
83,Left-F1,1,0
84,Right-F1,0,1
85,Optic-Chiasm,0,0
192,Corpus_Callosum,0,0
86,Left_future_WMSA,1,0
87,Right_future_WMSA,0,1
88,future_WMSA,0,0
96,Left-Amygdala-Anterior,1,0
97,Right-Amygdala-Anterior,0,1
98,Dura,0,0
100,Left-wm-intensity-abnormality,1,0
101,Left-caudate-intensity-abnormality,1,0
102,Left-putamen-intensity-abnormality,1,0
103,Left-accumbens-intensity-abnormality,1,0
104,Left-pallidum-intensity-abnormality,1,0
105,Left-amygdala-intensity-abnormality,1,0
106,Left-hippocampus-intensity-abnormality,1,0
107,Left-thalamus-intensity-abnormality,1,0
108,Left-VDC-intensity-abnormality,1,0
109,Right-wm-intensity-abnormality,0,1
110,Right-caudate-intensity-abnormality,0,1
111,Right-putamen-intensity-abnormality,0,1
112,Right-accumbens-intensity-abnormality,0,1
113,Right-pallidum-intensity-abnormality,0,1
114,Right-amygdala-intensity-abnormality,0,1
115,Right-hippocampus-intensity-abnormality,0,1
116,Right-thalamus-intensity-abnormality,0,1
117,Right-VDC-intensity-abnormality,0,1
118,Epidermis,0,0
119,Conn-Tissue,0,0
120,SC-Fat-Muscle,0,0
121,Cranium,0,0
122,CSF-SA,0,0
123,Muscle,0,0
124,Ear,0,0
125,Adipose,0,0
126,Spinal-Cord,0,0
127,Soft-Tissue,0,0
128,Nerve,0,0
129,Bone,0,0
130,Air,0,0
131,Orbital-Fat,0,0
132,Tongue,0,0
133,Nasal-Structures,0,0
134,Globe,0,0
135,Teeth,0,0
136,Left-Caudate-Putamen,1,0
137,Right-Caudate-Putamen,0,1
138,Left-Claustrum,1,0
139,Right-Claustrum,0,1
140,Cornea,0,0
142,Diploe,0,0
143,Vitreous-Humor,0,0
144,Lens,0,0
145,Aqueous-Humor,0,0
146,Outer-Table,0,0
147,Inner-Table,0,0
148,Periosteum,0,0
149,Endosteum,0,0
150,R-C-S,0,0
151,Iris,0,0
152,SC-Adipose-Muscle,0,0
153,SC-Tissue,0,0
154,Orbital-Adipose,0,0
155,Left-IntCapsule-Ant,1,0
156,Right-IntCapsule-Ant,0,1
157,Left-IntCapsule-Pos,1,0
158,Right-IntCapsule-Pos,0,1
159,Left-Cerebral-WM-unmyelinated,1,0
160,Right-Cerebral-WM-unmyelinated,0,1
161,Left-Cerebral-WM-myelinated,1,0
162,Right-Cerebral-WM-myelinated,0,1
163,Left-Subcortical-Gray-Matter,1,0
164,Right-Subcortical-Gray-Matter,0,1
165,Skull,0,0
166,Posterior-fossa,0,0
167,Scalp,0,0
168,Hematoma,0,0
169,Left-Basal-Ganglia,1,0
176,Right-Basal-Ganglia,0,1
170,brainstem,0,0
171,DCG,0,0
172,Vermis,0,0
173,Midbrain,0,0
174,Pons,0,0
175,Medulla,0,0
180,Left-Cortical-Dysplasia,1,0
181,Right-Cortical-Dysplasia,0,1
193,Left-hippocampal_fissure,1,0
194,Left-CADG-head,1,0
195,Left-subiculum,1,0
196,Left-fimbria,1,0
197,Right-hippocampal_fissure,0,1
198,Right-CADG-head,0,1
199,Right-subiculum,0,1
200,Right-fimbria,0,1
201,alveus,0,0
202,perforant_pathway,0,0
203,parasubiculum,0,0
204,presubiculum,0,0
205,subiculum,0,0
206,CA1,0,0
207,CA2,0,0
208,CA3,0,0
209,CA4,0,0
210,GC-ML-DG,0,0
211,HATA,0,0
212,fimbria,0,0
213,lateral_ventricle,0,0
214,molecular_layer_HP,0,0
215,hippocampal_fissure,0,0
216,entorhinal_cortex,0,0
217,molecular_layer_subiculum,0,0
218,Amygdala,0,0
219,Cerebral_White_Matter,0,0
220,Cerebral_Cortex,0,0
221,Inf_Lat_Vent,0,0
222,Perirhinal,0,0
223,Cerebral_White_Matter_Edge,0,0
224,Background,0,0
225,Ectorhinal,0,0
226,HP_tail,0,0
250,Fornix,0,0
251,CC_Posterior,0,0
252,CC_Mid_Posterior,0,0
253,CC_Central,0,0
254,CC_Mid_Anterior,0,0
255,CC_Anterior,0,0
